task,model,judge,criterion,n_samples,pearson_r,pearson_p,kendall_tau,kendall_p,spearman_r,spearman_p,mae,rmse,cohen_kappa,agreement_within_1,exact_agreement
interview,Qwen_summary,Qwen,usefulness,26,0.26162797606709143,0.19668192026093298,0.19312857269946337,0.2878402839234908,0.20690192117072573,0.3105165955854346,1.7692307692307692,2.019139192062567,0.01320132013201325,0.34615384615384615,0.11538461538461539
interview,Kimi_summary,Llama,overall,24,0.5653834970397652,0.0039878335963504435,0.5107600700046385,0.0059789643840558945,0.5690567658403266,0.0037077449935331887,0.7916666666666666,1.0606601717798212,0.1325301204819278,0.8333333333333334,0.375
interview,Kimi_summary,Llama,fluency,24,0.5153385008824813,0.009959841692521858,0.5333333333333333,0.009236735486806607,0.5427975276382807,0.006131421326763808,0.75,0.9128709291752769,-0.2142857142857142,0.9583333333333334,0.2916666666666667
interview,Kimi_summary,Llama,faithfulness,24,0.5766732542505499,0.00317956471000192,0.5617865756034147,0.0021113282265458593,0.6408195841770408,0.0007414093332728067,1.3333333333333333,1.5545631755148024,0.020408163265306145,0.5416666666666666,0.16666666666666666
interview,Kimi_summary,Llama,coverage,24,0.48053723116357083,0.01746208567279197,0.43145549730400484,0.01782699717126574,0.49234904208948005,0.01452304502089981,1.0833333333333333,1.4719601443879744,0.2398190045248868,0.5416666666666666,0.4166666666666667
interview,Kimi_summary,Llama,purity,24,,,,,,,0.6666666666666666,1.632993161855452,0.0,0.8333333333333334,0.8333333333333334
interview,Kimi_summary,Llama,usefulness,24,0.7035264706814485,0.00012538871276892278,0.6601095976056278,0.0002611687946644089,0.7224270208148037,6.704551614613812e-05,0.75,1.0408329997330663,0.11764705882352944,0.9166666666666666,0.375
interview,Kimi_summary,Mistral,overall,24,0.6661797832719718,0.00037960880759330216,0.5903049659267464,0.0015449738246916093,0.6458179421562137,0.0006528474858994925,0.9583333333333334,1.1726039399558574,0.03355704697986572,0.7916666666666666,0.25
interview,Kimi_summary,Mistral,fluency,24,-0.16903085094570328,0.4297735472143662,-0.25819888974716115,0.19814426237732818,-0.2683281572999748,0.2048826686791113,0.875,0.9789450103725609,-0.29032258064516125,0.9583333333333334,0.16666666666666666
interview,Kimi_summary,Mistral,faithfulness,24,0.4776109086855938,0.018260478547069837,0.4747380984765922,0.008423024751687604,0.5477130751825218,0.005597409317135789,1.125,1.3693063937629153,0.02921348314606731,0.625,0.25
interview,Kimi_summary,Mistral,coverage,24,0.5466693885861216,0.00570740611410038,0.5142653638627285,0.004741230220620658,0.5772882749343476,0.0031398478951895643,1.2916666666666667,1.695582495781317,0.12925170068027214,0.5416666666666666,0.3333333333333333
interview,Kimi_summary,Mistral,purity,24,,,,,,,0.0,0.0,,1.0,1.0
interview,Kimi_summary,Mistral,usefulness,24,0.5893814740081347,0.002439969470573093,0.5119850460993318,0.004366589579678133,0.5891601929500262,0.0024514694476838175,1.2916666666666667,1.6457014715109584,0.04424778761061943,0.625,0.25
interview,Kimi_summary,Qwen,overall,24,0.4152273992686998,0.0436179134269548,0.4342715744283826,0.02683947328591319,0.46161850211016575,0.02316466632449646,0.4583333333333333,0.7359800721939872,0.2920353982300885,0.9583333333333334,0.5833333333333334
interview,Kimi_summary,Qwen,fluency,24,0.026490647141300908,0.9022097979098211,0.02649064714130088,0.8989050350058245,0.026490647141300873,0.9022097979098211,0.4166666666666667,0.6454972243679028,0.024390243902439046,1.0,0.5833333333333334
interview,Kimi_summary,Qwen,faithfulness,24,0.4072567040945757,0.04824354202983657,0.433340020730933,0.019744944341857744,0.4975755074504381,0.013358838781041221,0.75,0.9574271077563381,0.0025974025974024872,0.9166666666666666,0.3333333333333333
interview,Kimi_summary,Qwen,coverage,24,0.3354101966249684,0.1090978591812409,0.3465132444386918,0.07504386396915552,0.37119655877432595,0.07412579812556949,0.5833333333333334,1.0,0.15492957746478875,0.875,0.5833333333333334
interview,Kimi_summary,Qwen,purity,24,,,,,,,0.0,0.0,,1.0,1.0
interview,Kimi_summary,Qwen,usefulness,24,0.18860838403857938,0.3774403814849633,0.21290467263536578,0.27429882739587585,0.22795136315904263,0.28403548545512786,0.5416666666666666,0.8416254115301732,0.10204081632653061,0.9166666666666666,0.5416666666666666
interview,Salmon_summary,Llama,overall,26,0.7684835114425301,4.538674358376383e-06,0.7777842040734453,1.1825900322063946e-05,0.8380187832112644,9.18331058968762e-08,0.4230769230769231,0.7595545253127499,0.4608294930875575,0.9230769230769231,0.6538461538461539
